NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
102654487	LOC102654487	uncharacterized LOC102654487	ncRNA			NC_037648.1	14684217	14685772
102654490	LOC102654490	uncharacterized LOC102654490	ncRNA			NC_037642.1	10334575	10335206
102654492	LOC102654492	uncharacterized LOC102654492	ncRNA			NC_037650.1	11239211	11239839
102654495	LOC102654495	uncharacterized LOC102654495	PROTEIN_CODING			NC_037638.1	11678171	11679543
102654498	LOC102654498	uncharacterized LOC102654498	ncRNA			NC_037646.1	1562620	1563468
102654505	LOC102654505	uncharacterized LOC102654505	ncRNA			NC_037652.1	3986708	3991732
102654507	LOC102654507	uncharacterized LOC102654507	ncRNA			NC_037646.1	10212314	10416205
102654519	LOC102654519	uncharacterized LOC102654519	ncRNA			NC_037651.1	6822260	6824209
102654521	LOC102654521	uncharacterized LOC102654521	ncRNA			NC_037645.1	8502077	8522775
102654523	LOC102654523	uncharacterized LOC102654523	ncRNA			NC_037645.1	9433488	9435387
102654528	LOC102654528	uncharacterized LOC102654528	ncRNA			NC_037642.1	13423231	13424752
102654530	LOC102654530	odorant receptor 67a-like	PROTEIN_CODING			NC_037639.1	2449158	2455786
102654534	LOC102654534	histidine-rich glycoprotein-like	PROTEIN_CODING			NC_037643.1	3580779	3583759
102654536	LOC102654536	uncharacterized LOC102654536	ncRNA			NC_037646.1	10453787	10457045
102654541	LOC102654541	zinc finger protein 776-like	PROTEIN_CODING			NC_037646.1	10672197	10673067
102654549	LOC102654549	uncharacterized LOC102654549	ncRNA			NC_037638.1	4835928	4836289
102654550	LOC102654550	uncharacterized LOC102654550	ncRNA			NC_037641.1	8494512	8495512
102654551	LOC102654551	uncharacterized LOC102654551	ncRNA			NC_037643.1	6721133	6723584
102654557	LOC102654557	uncharacterized LOC102654557	ncRNA			NC_037651.1	57722	58367
102654560	LOC102654560	uncharacterized LOC102654560	ncRNA			NC_037644.1	1845076	1847700
102654569	LOC102654569	uncharacterized LOC102654569	ncRNA			NC_037647.1	11276116	11284352
102654570	LOC102654570	uncharacterized LOC102654570	ncRNA			NC_037647.1	11995556	12000413
102654576	LOC102654576	uncharacterized LOC102654576	PROTEIN_CODING			NC_037639.1	2466116	2468432
102654578	LOC102654578	uncharacterized LOC102654578	ncRNA			NC_037644.1	3239973	3242099
102654580	LOC102654580	nuclear receptor subfamily 2 group E member 1-like	PROTEIN_CODING			NC_037641.1	8493846	8515980
102654581	LOC102654581	uncharacterized LOC102654581	ncRNA			NC_037638.1	5211503	5215605
102654584	LOC102654584	uncharacterized LOC102654584	ncRNA			NC_037643.1	8908539	8911354
102654587	LOC102654587	uncharacterized LOC102654587	ncRNA			NC_037643.1	16244968	16249391
102654588	LOC102654588	uncharacterized LOC102654588	ncRNA			NC_037650.1	572694	612332
102654597	LOC102654597	zinc finger protein 239-like	PROTEIN_CODING			NC_037653.1	7175555	7177626
102654601	LOC102654601	uncharacterized LOC102654601	ncRNA			NC_037644.1	10677431	10677852
102654605	LOC102654605	uncharacterized LOC102654605	ncRNA			NC_037643.1	14341213	14345574
102654609	LOC102654609	uncharacterized abhydrolase domain-containing protein DDB_G0269086-like	PROTEIN_CODING			NC_037648.1	3411570	3417654
102654613	LOC102654613	uncharacterized LOC102654613	ncRNA			NC_037648.1	14633535	14634986
102654622	LOC102654622	uncharacterized LOC102654622	ncRNA			NC_037640.1	7099363	7100664
102654623	LOC102654623	uncharacterized LOC102654623	ncRNA			NC_037653.1	5385017	5392380
102654625	LOC102654625	uncharacterized LOC102654625	ncRNA			NC_037645.1	8485889	8499165
102654628	LOC102654628	uncharacterized LOC102654628	ncRNA			NC_037648.1	11891804	11908728
102654629	LOC102654629	uncharacterized LOC102654629	ncRNA			NC_037646.1	10694803	10696492
102654638	LOC102654638	uncharacterized LOC102654638	ncRNA			NC_037641.1	2854205	2856999
102654639	LOC102654639	uncharacterized LOC102654639	ncRNA			NC_037644.1	2120089	2122883
102654646	LOC102654646	uncharacterized LOC102654646	ncRNA			NC_037652.1	3850459	3853959
102654649	LOC102654649	uncharacterized LOC102654649	ncRNA			NC_037642.1	6308824	6310414
102654654	LOC102654654	uncharacterized LOC102654654	ncRNA			NC_037645.1	9194027	9201573
102654656	LOC102654656	uncharacterized LOC102654656	ncRNA			NC_037652.1	4501994	4511636
102654659	LOC102654659	uncharacterized LOC102654659	ncRNA			NC_037644.1	2155540	2159905
102654662	LOC102654662	uncharacterized LOC102654662	ncRNA			NC_037653.1	5431997	5489426
102654666	LOC102654666	uncharacterized LOC102654666	ncRNA			NC_037648.1	15960839	15961278
102654674	LOC102654674	uncharacterized LOC102654674	ncRNA			NC_037641.1	5208952	5213594
102654678	LOC102654678	uncharacterized LOC102654678	ncRNA			NC_037639.1	14769662	14770977
102654686	LOC102654686	uncharacterized LOC102654686	ncRNA			NC_037649.1	737248	741657
102654687	LOC102654687	uncharacterized LOC102654687	ncRNA			NC_037640.1	2786686	2793178
102654688	LOC102654688	uncharacterized LOC102654688	ncRNA			NC_037641.1	3776379	3783472
102654690	LOC102654690	uncharacterized LOC102654690	ncRNA			NC_037650.1	6554701	6568903
102654696	LOC102654696	uncharacterized LOC102654696	PROTEIN_CODING			NC_037651.1	5433551	5436665
102654698	LOC102654698	uncharacterized LOC102654698	ncRNA			NC_037638.1	17174818	17263513
102654709	LOC102654709	uncharacterized LOC102654709	ncRNA			NC_037648.1	2318299	2321765
102654712	LOC102654712	uncharacterized LOC102654712	PROTEIN_CODING			NC_037648.1	13974634	13976928
102654720	LOC102654720	uncharacterized LOC102654720	ncRNA			NC_037641.1	3783490	3789405
102654724	LOC102654724	uncharacterized LOC102654724	ncRNA			NC_037651.1	6468617	6469483
102654728	LOC102654728	uncharacterized LOC102654728	ncRNA			NC_037640.1	56172	60283
102654729	LOC102654729	uncharacterized LOC102654729	PROTEIN_CODING	45845	NCBI Ortholog	NC_037639.1	2482754	2496930
102654730	LOC102654730	uncharacterized LOC102654730	ncRNA			NC_037650.1	2611215	2614356
102654732	LOC102654732	uncharacterized LOC102654732	ncRNA			NC_037645.1	3608922	3643345
102654734	LOC102654734	uncharacterized LOC102654734	ncRNA			NC_037650.1	6424862	6428662
102654738	LOC102654738	uncharacterized LOC102654738	ncRNA			NC_037651.1	8361988	8362965
102654740	LOC102654740	tetratricopeptide repeat protein 25-like	PROTEIN_CODING			NC_037642.1	10038552	10042782
102654741	LOC102654741	uncharacterized LOC102654741	ncRNA			NC_037647.1	11259204	11260326
102654745	LOC102654745	uncharacterized LOC102654745	PROTEIN_CODING			NC_037641.1	3814789	3885144
102654750	LOC102654750	uncharacterized LOC102654750	ncRNA			NC_037646.1	6630937	6636228
102654757	LOC102654757	uncharacterized LOC102654757	ncRNA			NC_037652.1	1078859	1084275
102654758	LOC102654758	uncharacterized LOC102654758	PROTEIN_CODING			NC_037641.1	2654947	2655997
102654759	LOC102654759	uncharacterized LOC102654759	ncRNA			NC_037638.1	1706523	1709448
102654761	LOC102654761	uncharacterized LOC102654761	ncRNA			NC_037645.1	7834680	7840271
102654762	LOC102654762	uncharacterized LOC102654762	ncRNA			NC_037647.1	10914647	10919152
102654763	LOC102654763	uncharacterized LOC102654763	PROTEIN_CODING			NC_037641.1	12058127	12059558
102654766	LOC102654766	leucine-rich repeat-containing protein 40-like	PROTEIN_CODING			NC_037640.1	783462	786931
102654769	LOC102654769	uncharacterized LOC102654769	ncRNA			NC_037653.1	4298028	4300496
102654772	LOC102654772	uncharacterized LOC102654772	ncRNA			NC_037643.1	13130791	13132447
102654775	LOC102654775	uncharacterized LOC102654775	ncRNA			NC_037643.1	6939002	6939929
102654776	LOC102654776	paired box protein Pax-6	PROTEIN_CODING	43833	NCBI Ortholog	NC_037643.1	8840278	8882875
102654782	LOC102654782	uncharacterized LOC102654782	PROTEIN_CODING			NC_037650.1	1992220	1995962
102654783	LOC102654783	uncharacterized LOC102654783	PROTEIN_CODING	37994	NCBI Ortholog	NC_037651.1	145198	189919
102654788	LOC102654788	uncharacterized LOC102654788	ncRNA			NC_037640.1	2703174	2712486
102654792	LOC102654792	uncharacterized LOC102654792	ncRNA			NC_037648.1	13954070	13958630
102654793	LOC102654793	uncharacterized LOC102654793	ncRNA			NC_037648.1	14595939	14598314
102654795	LOC102654795	putative uncharacterized protein DDB_G0281733	PROTEIN_CODING			NC_037646.1	11495248	11511610
102654797	LOC102654797	uncharacterized LOC102654797	ncRNA			NC_037638.1	13201766	13202682
102654800	LOC102654800	histone-lysine N-methyltransferase SETMAR-like	PROTEIN_CODING			NC_037639.1	1603256	1603748
102654804	LOC102654804	uncharacterized LOC102654804	PROTEIN_CODING			NC_037638.1	2034638	2038571
102654806	LOC102654806	uncharacterized LOC102654806	ncRNA			NC_037649.1	5268085	5273816
102654809	LOC102654809	uncharacterized LOC102654809	ncRNA			NC_037640.1	8854526	8887515
102654810	LOC102654810	uncharacterized LOC102654810	ncRNA			NC_037643.1	6932491	6937778
102654812	LOC102654812	uncharacterized LOC102654812	ncRNA			NC_037643.1	16118970	16121836
102654815	LOC102654815	uncharacterized LOC102654815	ncRNA			NC_037640.1	3977517	3980876
102654823	LOC102654823	uncharacterized LOC102654823	ncRNA			NC_037640.1	3273716	3277445
102654831	LOC102654831	uncharacterized LOC102654831	ncRNA			NC_037646.1	12090806	12249170
102654832	LOC102654832	uncharacterized LOC102654832	ncRNA			NC_037645.1	9455760	9458006
102654837	LOC102654837	uncharacterized LOC102654837	ncRNA			NC_037653.1	4245046	4249220
102654839	LOC102654839	uncharacterized LOC102654839	PROTEIN_CODING	42627	NCBI Ortholog	NC_037651.1	7556583	7571148
102654841	LOC102654841	uncharacterized LOC102654841	PROTEIN_CODING			NC_037644.1	8692263	8695056
102654842	LOC102654842	uncharacterized LOC102654842	ncRNA			NC_037651.1	5417005	5418997
102654852	LOC102654852	uncharacterized LOC102654852	ncRNA			NC_037653.1	2237585	2238757
102654856	LOC102654856	uncharacterized LOC102654856	ncRNA			NC_037638.1	4006295	4022331
102654865	LOC102654865	uncharacterized LOC102654865	ncRNA			NC_037650.1	2544185	2553910
102654866	LOC102654866	uncharacterized LOC102654866	ncRNA			NC_037648.1	14573308	14579693
102654867	LOC102654867	collagen alpha-2(IV) chain-like	PROTEIN_CODING			NC_037649.1	9193017	9215138
102654870	LOC102654870	uncharacterized LOC102654870	ncRNA			NC_037640.1	11971100	11974052
102654874	LOC102654874	uncharacterized LOC102654874	PROTEIN_CODING			NC_037646.1	8676258	8682965
102654878	LOC102654878	odorant receptor 22c-like	PROTEIN_CODING			NC_037644.1	8695778	8697622
102654882	LOC102654882	uncharacterized LOC102654882	ncRNA			NC_037640.1	12339560	12340755
102654883	LOC102654883	uncharacterized LOC102654883	ncRNA			NC_037648.1	4816115	4817374
102654884	LOC102654884	uncharacterized LOC102654884	ncRNA			NW_020555846.1	19139	21027
102654892	LOC102654892	uncharacterized LOC102654892	ncRNA			NC_037647.1	10905991	10908686
102654893	LOC102654893	uncharacterized LOC102654893	ncRNA			NC_037647.1	11085998	11110234
102654895	LOC102654895	uncharacterized LOC102654895	ncRNA			NC_037650.1	2756876	2759023
102654896	LOC102654896	uncharacterized LOC102654896	ncRNA			NC_037645.1	3572129	3601502
102654897	LOC102654897	histidine-rich glycoprotein-like	PROTEIN_CODING			NC_037643.1	3591803	3593001
102654898	LOC102654898	uncharacterized LOC102654898	ncRNA			NC_037642.1	5940764	6009900
102654909	LOC102654909	uncharacterized LOC102654909	ncRNA			NC_037652.1	3500975	3501644
102654916	LOC102654916	uncharacterized LOC102654916	ncRNA			NC_037638.1	17568970	17569936
102654917	LOC102654917	uncharacterized LOC102654917	ncRNA			NC_037638.1	6300717	6303236
102654924	LOC102654924	uncharacterized LOC102654924	ncRNA			NC_037643.1	13154564	13158661
102654929	LOC102654929	uncharacterized LOC102654929	ncRNA			NC_037650.1	11111734	11115212
102654930	LOC102654930	uncharacterized LOC102654930	PROTEIN_CODING			NC_037643.1	12175293	12181058
102654938	LOC102654938	uncharacterized LOC102654938	ncRNA			NC_037647.1	10393014	10408692
102654939	LOC102654939	uncharacterized LOC102654939	ncRNA			NC_037639.1	14725722	14730196
102654940	LOC102654940	uncharacterized LOC102654940	ncRNA			NC_037647.1	4010884	4043950
102654944	LOC102654944	uncharacterized LOC102654944	ncRNA			NC_037645.1	7132398	7133453
102654947	LOC102654947	uncharacterized LOC102654947	ncRNA			NC_037648.1	14738389	14744122
102654948	LOC102654948	uncharacterized LOC102654948	ncRNA			NC_037648.1	15048858	15050388
102654950	LOC102654950	uncharacterized LOC102654950	ncRNA			NC_037650.1	11107949	11142339
102654960	LOC102654960	uncharacterized LOC102654960	ncRNA			NC_037640.1	11960132	11963076
102654965	LOC102654965	uncharacterized LOC102654965	PROTEIN_CODING			NC_037641.1	2866048	2876397
102654966	LOC102654966	uncharacterized LOC102654966	ncRNA			NC_037638.1	3181727	3183286
102654974	LOC102654974	uncharacterized LOC102654974	ncRNA			NC_037641.1	5364857	5369438
102654976	LOC102654976	uncharacterized LOC102654976	ncRNA			NC_037638.1	6319178	6320256
102654984	LOC102654984	uncharacterized LOC102654984	ncRNA			NC_037653.1	2894251	2896976
102654988	LOC102654988	uncharacterized LOC102654988	ncRNA			NC_037643.1	9730426	9730853
102654990	LOC102654990	uncharacterized LOC102654990	ncRNA			NC_037647.1	10938054	10939936
102654992	LOC102654992	uncharacterized LOC102654992	ncRNA			NC_037649.1	10983869	10988918
102654994	LOC102654994	uncharacterized LOC102654994	PROTEIN_CODING			NC_037642.1	13872220	13877728
102654995	LOC102654995	uncharacterized LOC102654995	ncRNA			NC_037643.1	14699119	14700804
102654998	LOC102654998	uncharacterized LOC102654998	ncRNA			NC_037638.1	1765422	1774133
102655004	LOC102655004	uncharacterized LOC102655004	ncRNA			NC_037648.1	16338162	16338468
102655011	LOC102655011	uncharacterized LOC102655011	ncRNA			NC_037640.1	3837584	3839506
102655012	LOC102655012	uncharacterized LOC102655012	ncRNA			NC_037638.1	4043846	4058182
102655014	LOC102655014	uncharacterized LOC102655014	ncRNA			NC_037643.1	9731993	9737901
102655018	LOC102655018	uncharacterized LOC102655018	ncRNA			NC_037643.1	16071044	16081187
102655020	LOC102655020	uncharacterized LOC102655020	ncRNA			NC_037651.1	245161	259500
102655025	LOC102655025	uncharacterized LOC102655025	ncRNA			NC_037653.1	2897014	2908201
102655028	LOC102655028	uncharacterized LOC102655028	ncRNA			NC_037652.1	3555362	3559179
102655031	LOC102655031	sperm mitochondrial-associated cysteine-rich protein-like	PROTEIN_CODING			NC_037647.1	5683279	5684393
102655032	LOC102655032	uncharacterized LOC102655032	ncRNA			NC_037638.1	6333160	6337112
102655033	LOC102655033	uncharacterized LOC102655033	ncRNA			NC_037643.1	7002400	7008194
102655038	LOC102655038	uncharacterized LOC102655038	ncRNA			NC_037648.1	1256026	1256657
102655041	LOC102655041	uncharacterized LOC102655041	ncRNA			NC_037649.1	4262399	4263261
102655043	LOC102655043	uncharacterized LOC102655043	ncRNA			NC_037643.1	6215587	6233789
102655045	LOC102655045	uncharacterized LOC102655045	ncRNA			NC_037638.1	5536689	5537781
102655046	LOC102655046	uncharacterized LOC102655046	ncRNA			NC_037648.1	12891290	12894389
102655049	LOC102655049	uncharacterized LOC102655049	ncRNA			NC_037643.1	15620607	15622604
102655052	LOC102655052	uncharacterized LOC102655052	ncRNA			NC_037645.1	2822169	2829427
102655053	LOC102655053	uncharacterized LOC102655053	ncRNA			NC_037645.1	3644429	3647080
102655058	LOC102655058	uncharacterized LOC102655058	PROTEIN_CODING			NC_037652.1	8321747	8349550
102655062	LOC102655062	uncharacterized LOC102655062	ncRNA			NC_037643.1	16533042	16533446
102655064	LOC102655064	uncharacterized LOC102655064	ncRNA			NC_037646.1	350748	355991
102655070	LOC102655070	uncharacterized LOC102655070	ncRNA			NC_037643.1	8777697	8780169
102655071	LOC102655071	uncharacterized LOC102655071	ncRNA			NC_037647.1	10952672	10954991
102655072	LOC102655072	microtubule-associated protein futsch-like	PROTEIN_CODING			NC_037645.1	10474074	10539132
102655080	LOC102655080	uncharacterized LOC102655080	ncRNA			NC_037645.1	2830041	2831494
102655088	LOC102655088	uncharacterized LOC102655088	ncRNA			NC_037639.1	14704493	14707721
102655089	LOC102655089	uncharacterized LOC102655089	ncRNA			NC_037644.1	13543048	13543597
102655094	LOC102655094	uncharacterized LOC102655094	ncRNA			NC_037640.1	4915797	4917364
102655097	LOC102655097	distal membrane-arm assembly complex protein 2	PROTEIN_CODING	40291	NCBI Ortholog	NC_037653.1	6628023	6629090
102655099	LOC102655099	uncharacterized LOC102655099	ncRNA			NC_037645.1	7879897	7901822
102655102	LOC102655102	uncharacterized LOC102655102	PROTEIN_CODING			NC_037649.1	11010130	11020948
102655106	LOC102655106	uncharacterized LOC102655106	ncRNA			NC_037648.1	1183206	1185899
102655107	LOC102655107	uncharacterized LOC102655107	PROTEIN_CODING			NC_037638.1	1801315	1802308
102655131	LOC102655131	zinc finger protein 300-like	PROTEIN_CODING			NC_037651.1	2528580	2554386
102655134	LOC102655134	uncharacterized LOC102655134	PROTEIN_CODING			NC_037642.1	1951193	1952232
102655138	LOC102655138	E3 ubiquitin-protein ligase MARCH3-like	PROTEIN_CODING			NC_037645.1	6985860	6986920
102655142	LOC102655142	uncharacterized LOC102655142	ncRNA			NC_037642.1	1012755	1013465
102655144	LOC102655144	uncharacterized LOC102655144	ncRNA			NC_037641.1	5327263	5328619
102655145	LOC102655145	uncharacterized LOC102655145	ncRNA			NC_037652.1	3876593	3880434
102655147	LOC102655147	uncharacterized LOC102655147	PROTEIN_CODING			NC_037648.1	11125399	11128016
102655148	LOC102655148	uncharacterized LOC102655148	PROTEIN_CODING			NC_037642.1	11301665	11306868
102655152	LOC102655152	uncharacterized LOC102655152	ncRNA			NC_037640.1	3291009	3293516
102655153	LOC102655153	facilitated trehalose transporter Tret1-like	PROTEIN_CODING			NC_037641.1	6267551	6269261
102655155	LOC102655155	uncharacterized LOC102655155	ncRNA			NC_037638.1	6376475	6377870
102655158	LOC102655158	uncharacterized LOC102655158	ncRNA			NC_037645.1	12121457	12125185
102655168	LOC102655168	uncharacterized LOC102655168	PROTEIN_CODING			NC_037642.1	8508606	8510606
102655173	LOC102655173	uncharacterized LOC102655173	ncRNA			NC_037640.1	3296220	3297673
102655174	LOC102655174	uncharacterized LOC102655174	ncRNA			NC_037646.1	5875824	5879883
102655177	LOC102655177	uncharacterized LOC102655177	ncRNA			NC_037641.1	8249725	8252483
102655179	LOC102655179	uncharacterized LOC102655179	ncRNA			NC_037651.1	10622943	10625718
102655180	LOC102655180	odorant receptor 63a-like	PROTEIN_CODING			NC_037648.1	11129371	11132235
102655181	LOC102655181	uncharacterized LOC102655181	ncRNA			NC_037638.1	24097824	24098529
102655184	LOC102655184	uncharacterized LOC102655184	ncRNA			NC_037648.1	2432549	2433761
102655189	LOC102655189	sperm flagellar protein 1-like	PROTEIN_CODING			NC_037640.1	11988998	11990570
102655195	LOC102655195	uncharacterized LOC102655195	ncRNA			NC_037652.1	3612131	3614518
102655200	LOC102655200	uncharacterized LOC102655200	ncRNA			NC_037643.1	12900538	12902997
102655202	LOC102655202	uncharacterized LOC102655202	PROTEIN_CODING			NC_037638.1	27110304	27113141
102655208	LOC102655208	uncharacterized LOC102655208	ncRNA			NC_037653.1	2929452	2935148
102655218	LOC102655218	uncharacterized LOC102655218	PROTEIN_CODING			NC_037639.1	1154485	1157492
102655219	LOC102655219	GPI mannosyltransferase 2	PROTEIN_CODING	19835383	NCBI Ortholog	NC_037643.1	4795533	4797069
102655223	LOC102655223	uncharacterized LOC102655223	ncRNA			NC_037647.1	3240836	3245063
102655232	LOC102655232	uncharacterized LOC102655232	ncRNA			NC_037644.1	13548125	13550112
102655235	LOC102655235	uncharacterized LOC102655235	ncRNA			NC_037639.1	2695882	2791728
102655237	LOC102655237	uncharacterized LOC102655237	ncRNA			NC_037640.1	4886479	4888443
102655240	LOC102655240	tRNA-specific adenosine deaminase 2	PROTEIN_CODING	42079	NCBI Ortholog	NC_037642.1	7439409	7440283
102655241	LOC102655241	uncharacterized LOC102655241	ncRNA			NC_037647.1	10515734	10519254
102655249	LOC102655249	uncharacterized LOC102655249	PROTEIN_CODING			NC_037638.1	9691937	9703561
102655251	LOC102655251	uncharacterized LOC102655251	ncRNA			NC_037643.1	14551855	14593809
102655252	LOC102655252	uncharacterized LOC102655252	ncRNA			NC_037643.1	16033890	16034619
102655275	LOC102655275	uncharacterized LOC102655275	ncRNA			NC_037638.1	11942593	11953074
102655278	LOC102655278	uncharacterized LOC102655278	ncRNA			NC_037642.1	5167349	5170035
102655280	LOC102655280	uncharacterized LOC102655280	ncRNA			NC_037650.1	10364702	10366381
102655281	LOC102655281	uncharacterized LOC102655281	ncRNA			NC_037641.1	9271351	9275309
102655285	LOC102655285	uncharacterized LOC102655285	PROTEIN_CODING			NC_037639.1	1086473	1091023
102655287	LOC102655287	uncharacterized LOC102655287	PROTEIN_CODING			NC_037641.1	1171173	1186095
102655291	LOC102655291	uncharacterized LOC102655291	ncRNA			NC_037639.1	2637046	2640531
102655292	LOC102655292	uncharacterized LOC102655292	ncRNA			NC_037645.1	1488351	1495868
102655300	LOC102655300	uncharacterized LOC102655300	ncRNA			NC_037648.1	13425958	13426367
102655302	LOC102655302	uncharacterized LOC102655302	ncRNA			NC_037645.1	9495326	9497681
102655306	LOC102655306	uncharacterized LOC102655306	PROTEIN_CODING			NC_037652.1	5216124	5217880
102655308	LOC102655308	uncharacterized LOC102655308	ncRNA			NC_037642.1	5202673	5203883
102655311	LOC102655311	uncharacterized LOC102655311	ncRNA			NC_037643.1	12835265	12842070
102655330	LOC102655330	uncharacterized LOC102655330	ncRNA			NC_037639.1	11358576	11361627
102655339	LOC102655339	uncharacterized LOC102655339	ncRNA			NC_037647.1	10954998	10956372
102655352	LOC102655352	uncharacterized LOC102655352	PROTEIN_CODING	38992	NCBI Ortholog	NC_037652.1	9428663	9431290
102655353	LOC102655353	dynein heavy chain 7, axonemal-like	PROTEIN_CODING			NC_037648.1	12168887	12170141
102655354	LOC102655354	uncharacterized LOC102655354	ncRNA			NC_037640.1	11464919	11467779
102655355	LOC102655355	uncharacterized LOC102655355	ncRNA			NC_037643.1	14556622	14557066
102655357	LOC102655357	uncharacterized LOC102655357	PROTEIN_CODING			NC_037646.1	32209	39652
102655361	LOC102655361	uncharacterized LOC102655361	ncRNA			NC_037650.1	4933706	4937034
102655363	LOC102655363	uncharacterized LOC102655363	ncRNA			NC_037653.1	5265066	5265817
102655365	LOC102655365	uncharacterized LOC102655365	ncRNA			NC_037643.1	8817387	8821574
102655367	LOC102655367	odorant receptor 4-like	PROTEIN_CODING			NC_037639.1	9990191	9992152
102655371	LOC102655371	uncharacterized LOC102655371	ncRNA			NC_037648.1	14813423	14814349
102655373	LOC102655373	uncharacterized LOC102655373	ncRNA			NW_020555870.1	40187	41730
102655375	LOC102655375	uncharacterized LOC102655375	ncRNA			NC_037645.1	1485007	1488173
102655376	LOC102655376	uncharacterized LOC102655376	ncRNA			NC_037653.1	2890496	2893018
102655392	LOC102655392	MDS1 and EVI1 complex locus protein EVI1-A-like	PROTEIN_CODING			NC_037640.1	7569798	7592745
102655393	LOC102655393	uncharacterized LOC102655393	ncRNA			NC_037643.1	9696323	9699248
102655396	LOC102655396	uncharacterized LOC102655396	ncRNA			NC_037647.1	10453774	10455359
102655405	LOC102655405	uncharacterized LOC102655405	ncRNA			NC_037649.1	5571877	5584956
102655409	LOC102655409	uncharacterized LOC102655409	ncRNA			NC_037641.1	12472825	12477931
102655419	LOC102655419	uncharacterized LOC102655419	ncRNA			NC_037647.1	10445004	10448486
102655422	LOC102655422	uncharacterized LOC102655422	PROTEIN_CODING			NC_037638.1	12378655	12381583
102655426	LOC102655426	uncharacterized LOC102655426	ncRNA			NC_037645.1	3749749	3752773
102655427	LOC102655427	uncharacterized LOC102655427	ncRNA			NC_037650.1	4940764	4959434
102655429	LOC102655429	proline-rich protein 36-like	PROTEIN_CODING			NC_037646.1	10073643	10076533
102655431	LOC102655431	uncharacterized LOC102655431	ncRNA			NC_037638.1	5611634	5613472
102655432	LOC102655432	uncharacterized LOC102655432	ncRNA			NC_037645.1	6356155	6358275
102655434	LOC102655434	odorant receptor 4-like	PROTEIN_CODING			NC_037639.1	9993982	9995638
102655435	LOC102655435	odorant receptor 4-like	PROTEIN_CODING			NC_037639.1	10149997	10152787
102655436	LOC102655436	uncharacterized LOC102655436	PROTEIN_CODING			NC_037649.1	9304876	9315214
102655437	LOC102655437	uncharacterized LOC102655437	ncRNA			NC_037638.1	9480407	9485201
102655438	LOC102655438	uncharacterized LOC102655438	ncRNA			NC_037642.1	12787944	12828503
102655442	LOC102655442	uncharacterized LOC102655442	ncRNA			NC_037638.1	1213342	1214946
102655447	LOC102655447	uncharacterized LOC102655447	ncRNA			NC_037647.1	4666116	4666545
102655453	LOC102655453	uncharacterized LOC102655453	ncRNA			NC_037640.1	12290432	12292272
102655454	LOC102655454	uncharacterized LOC102655454	ncRNA			NC_037639.1	2366468	2367151
102655455	LOC102655455	uncharacterized LOC102655455	ncRNA			NC_037643.1	1620534	1622868
102655457	LOC102655457	uncharacterized LOC102655457	PROTEIN_CODING			NC_037652.1	4484407	4488451
102655462	LOC102655462	uncharacterized LOC102655462	ncRNA			NC_037645.1	6363945	6371188
102655464	LOC102655464	uncharacterized LOC102655464	ncRNA			NC_037651.1	9364155	9365373
102655465	LOC102655465	uncharacterized LOC102655465	ncRNA			NC_037647.1	10972250	10975754
102655470	LOC102655470	transmembrane inner ear expressed protein	PROTEIN_CODING	35312	NCBI Ortholog	NC_037647.1	11877921	11878885
102655477	LOC102655477	uncharacterized LOC102655477	ncRNA			NC_037652.1	8692199	8705646
102655481	LOC102655481	uncharacterized LOC102655481	ncRNA			NC_037647.1	10531027	10539247
102655485	LOC102655485	uncharacterized LOC102655485	ncRNA			NC_037648.1	2476068	2477209
102655490	LOC102655490	uncharacterized LOC102655490	ncRNA			NC_037638.1	6096279	6097552
102655491	LOC102655491	uncharacterized LOC102655491	ncRNA			NC_037645.1	6952704	6961029
102655493	LOC102655493	UPF0602 protein C4orf47 homolog	PROTEIN_CODING			NC_037638.1	9658311	9659461
102655494	LOC102655494	uncharacterized LOC102655494	ncRNA			NC_037643.1	17044575	17049075
102655495	LOC102655495	uncharacterized LOC102655495	PROTEIN_CODING			NC_037642.1	2118743	2120822
102655496	LOC102655496	uncharacterized LOC102655496	ncRNA			NC_037640.1	4436820	4443669
102655506	LOC102655506	uncharacterized LOC102655506	ncRNA			NC_037643.1	6860124	6865514
102655507	LOC102655507	uncharacterized LOC102655507	ncRNA			NC_037645.1	1220538	1229573
102655509	LOC102655509	uncharacterized LOC102655509	ncRNA			NC_037653.1	4063197	4067461
102655512	LOC102655512	uncharacterized LOC102655512	PROTEIN_CODING			NC_037646.1	10094748	10099600
102655515	LOC102655515	uncharacterized LOC102655515	ncRNA			NC_037638.1	11927187	11929079
102655519	LOC102655519	uncharacterized LOC102655519	ncRNA			NC_037650.1	5064036	5067031
102655522	LOC102655522	uncharacterized LOC102655522	ncRNA			NC_037652.1	8681730	8684569
102655526	LOC102655526	uncharacterized LOC102655526	ncRNA			NC_037647.1	10983809	10985302
102655529	LOC102655529	uncharacterized LOC102655529	ncRNA			NC_037643.1	15772230	15774154
102655530	LOC102655530	uncharacterized LOC102655530	PROTEIN_CODING			NC_037638.1	18409342	18412670
102655531	LOC102655531	uncharacterized LOC102655531	ncRNA			NC_037638.1	20862267	20863322
102655536	LOC102655536	uncharacterized LOC102655536	ncRNA			NC_037648.1	2470877	2474144
